GeneId	shNC-1	shNC-2	shMIB1-1	shMIB1-2
ENSG00000047410	5064	6622	5450	4493
ENSG00000047457	1	0	1	0
ENSG00000047578	457	582	488	574
ENSG00000047579	234	293	321	256
ENSG00000047597	95	142	127	122
ENSG00000047617	0	0	0	0
ENSG00000047621	228	307	245	243
ENSG00000047634	149	172	152	145
ENSG00000047644	159	205	262	283
ENSG00000047648	6	0	4	0
ENSG00000047662	3	0	1	1
ENSG00000047849	6048	7501	6135	6845
ENSG00000047932	955	1162	1215	940
ENSG00000047936	0	0	1	0
ENSG00000048028	345	497	446	357
ENSG00000048052	37	68	66	75
ENSG00000048140	1049	1166	1252	1120
ENSG00000048162	948	891	970	606
ENSG00000048342	193	209	335	173
ENSG00000048392	1116	1921	1586	1546
ENSG00000048405	322	447	408	366
ENSG00000048462	0	0	0	0
ENSG00000048471	183	244	243	313
ENSG00000048540	0	0	0	0
ENSG00000048544	1131	1516	1570	1274
ENSG00000048545	0	0	0	0
ENSG00000048649	830	1072	1169	1032
ENSG00000048707	1154	1651	1202	1343
ENSG00000048740	0	1	0	0
ENSG00000048828	3130	4094	4552	4019
ENSG00000048991	1198	1393	1335	1116
ENSG00000049089	40	39	38	42
ENSG00000049130	12632	20638	10706	10093
ENSG00000049167	158	276	191	174
ENSG00000049192	14	18	26	21
ENSG00000049239	325	483	346	568
ENSG00000049245	1326	1822	1665	1490
ENSG00000049246	72	113	72	88
ENSG00000049247	20	15	28	19
ENSG00000049249	3	14	6	20
ENSG00000049283	368	489	460	508
ENSG00000049323	346	508	479	533
ENSG00000049449	2303	2574	2851	1781
ENSG00000049540	2	2	3	2
ENSG00000049541	1116	1302	1123	733
ENSG00000049618	631	908	669	707
ENSG00000049656	1779	1979	2205	1529
ENSG00000049759	859	1243	968	1113
ENSG00000049768	2	3	1	5
ENSG00000049769	21	20	32	19
ENSG00000049860	1573	1779	2134	1622
ENSG00000049883	313	400	331	257
ENSG00000050030	0	0	0	0
ENSG00000050130	806	1011	910	897
ENSG00000050165	6	1	5	5
ENSG00000050327	635	813	733	912
ENSG00000050344	908	1013	1022	874
ENSG00000050393	858	1060	868	719
ENSG00000050405	2329	3672	3833	3217
ENSG00000050426	652	633	607	537
ENSG00000050438	55	92	45	49
ENSG00000050555	362	387	403	439
ENSG00000050628	0	0	0	0
ENSG00000050730	1	0	0	3
ENSG00000050748	849	1119	942	870
ENSG00000050767	2	1	0	1
ENSG00000050820	757	931	1083	1084
ENSG00000051009	463	591	505	627
ENSG00000051108	884	983	1223	856
ENSG00000051128	329	291	338	259
ENSG00000051180	457	513	266	181
ENSG00000051341	590	659	682	467
ENSG00000051382	970	1424	1112	952
ENSG00000051523	1824	1684	2192	2024
ENSG00000051596	1354	1378	1270	910
ENSG00000051620	589	580	725	485
ENSG00000051825	472	592	448	399
ENSG00000052126	359	465	460	419
ENSG00000052344	509	614	763	1059
ENSG00000052723	809	1079	946	873
ENSG00000052749	1514	1653	1473	1282
ENSG00000052795	153	239	211	263
ENSG00000052802	772	1368	850	1483
ENSG00000052841	801	991	896	850
ENSG00000052850	0	0	0	0
ENSG00000053108	32	33	17	21
ENSG00000053254	443	694	531	588
ENSG00000053328	0	0	0	0
ENSG00000053371	760	886	790	742
ENSG00000053372	1616	1655	1803	974
ENSG00000053438	0	0	0	0
ENSG00000053501	129	107	147	111
ENSG00000053524	15	27	27	43
ENSG00000053702	0	0	0	0
ENSG00000053747	329	595	1008	903
ENSG00000053770	482	680	625	536
ENSG00000053900	538	624	619	415
ENSG00000053918	109	121	72	135
ENSG00000054116	871	929	1115	813
ENSG00000054118	3623	4967	5010	3530
ENSG00000054148	672	657	1079	728
ENSG00000054179	307	247	246	289
ENSG00000054219	0	0	0	0
ENSG00000054267	657	882	764	633
ENSG00000054277	50	76	92	84
ENSG00000054282	280	374	351	283
ENSG00000054356	0	0	0	0
ENSG00000054392	48	76	57	66
ENSG00000054523	1481	2332	1916	2216
ENSG00000054598	579	622	465	444
ENSG00000054611	363	459	440	381
ENSG00000054654	1088	1028	1070	893
ENSG00000054690	378	390	499	504
ENSG00000054793	613	822	706	718
ENSG00000054796	0	0	0	0
ENSG00000054803	0	0	0	0
ENSG00000054938	0	0	0	0
ENSG00000054965	801	1124	793	943
ENSG00000054967	313	324	325	325
ENSG00000054983	0	0	0	0
ENSG00000055044	2237	2542	2627	1642
ENSG00000055070	3120	3546	3937	3227
ENSG00000055118	324	401	313	369
ENSG00000055130	1535	1753	1772	1249
ENSG00000055147	330	510	455	422
ENSG00000055163	1353	1919	1585	1649
ENSG00000055208	1704	2699	2623	2763
ENSG00000055211	479	504	693	529
ENSG00000055332	1130	1451	1682	1841
ENSG00000055483	1340	1500	1459	1149
ENSG00000055609	684	1118	876	1228
ENSG00000055732	124	168	198	155
ENSG00000055813	5	2	5	1
ENSG00000055917	1723	2757	2221	2149
ENSG00000055950	1083	1178	1193	1041
ENSG00000055955	10	18	11	20
ENSG00000055957	0	0	0	0
ENSG00000056050	320	370	359	267
ENSG00000056097	2196	2858	2686	1987
ENSG00000056277	267	401	330	282
ENSG00000056291	0	1	0	0
ENSG00000056487	0	0	0	0
ENSG00000056558	28	28	35	51
ENSG00000056586	1032	1598	1361	1354
ENSG00000056736	202	146	153	93
ENSG00000056972	306	490	409	456
ENSG00000056998	0	0	0	0
ENSG00000057019	9851	15481	11936	10404
